"Release","Property","freq","count","class"
"2016-03-11","http://data.linkedevents.org/def/location#businessType",50276,20692,"dul-Places"
"2016-03-11","http://data.linkedevents.org/def/location#businessTypeTop",19393,20692,"dul-Places"
"2016-03-11","http://data.linkedevents.org/def/location#cell",20692,20692,"dul-Places"
"2016-03-11","http://linkedevents.org/ontology/poster",17777,20692,"dul-Places"
"2016-03-11","http://purl.org/dc/elements/1.1/identifier",20704,20692,"dul-Places"
"2016-03-11","http://purl.org/dc/elements/1.1/publisher",20692,20692,"dul-Places"
"2016-03-11","http://schema.org/aggregateRating",435,20692,"dul-Places"
"2016-03-11","http://schema.org/description",311,20692,"dul-Places"
"2016-03-11","http://schema.org/image",2473,20692,"dul-Places"
"2016-03-11","http://schema.org/interactionCount",6919,20692,"dul-Places"
"2016-03-11","http://schema.org/location",20666,20692,"dul-Places"
"2016-03-11","http://schema.org/openingHours",2363,20692,"dul-Places"
"2016-03-11","http://schema.org/priceRange",15,20692,"dul-Places"
"2016-03-11","http://schema.org/review",2211,20692,"dul-Places"
"2016-03-11","http://schema.org/telephone",18325,20692,"dul-Places"
"2016-03-11","http://schema.org/url",4309,20692,"dul-Places"
"2016-03-11","http://www.3cixty.com/ontology#descriptionScore",20692,20692,"dul-Places"
"2016-03-11","http://www.3cixty.com/ontology#editorialScore",20692,20692,"dul-Places"
"2016-03-11","http://www.3cixty.com/ontology#posterScore",20692,20692,"dul-Places"
"2016-03-11","http://www.w3.org/1999/02/22-rdf-syntax-ns#type",62076,20692,"dul-Places"
"2016-03-11","http://www.w3.org/2000/01/rdf-schema#label",20692,20692,"dul-Places"
"2016-03-11","http://www.w3.org/2002/07/owl#sameAs",20597,20692,"dul-Places"
"2016-03-11","http://www.w3.org/2003/01/geo/wgs84_pos#location",20692,20692,"dul-Places"
"2016-03-22","http://data.linkedevents.org/def/location#businessType",50276,20692,"dul-Places"
"2016-03-22","http://data.linkedevents.org/def/location#businessTypeTop",19393,20692,"dul-Places"
"2016-03-22","http://data.linkedevents.org/def/location#cell",20692,20692,"dul-Places"
"2016-03-22","http://linkedevents.org/ontology/poster",17777,20692,"dul-Places"
"2016-03-22","http://purl.org/dc/elements/1.1/identifier",20704,20692,"dul-Places"
"2016-03-22","http://purl.org/dc/elements/1.1/publisher",20692,20692,"dul-Places"
"2016-03-22","http://schema.org/aggregateRating",435,20692,"dul-Places"
"2016-03-22","http://schema.org/description",311,20692,"dul-Places"
"2016-03-22","http://schema.org/image",2473,20692,"dul-Places"
"2016-03-22","http://schema.org/interactionCount",6919,20692,"dul-Places"
"2016-03-22","http://schema.org/location",20666,20692,"dul-Places"
