"Release","Property","freq","count","class"
"2016-03-11","http://data.linkedevents.org/def/location#businessType",605,605,"lode-Events"
"2016-03-11","http://data.linkedevents.org/def/location#cell",613,605,"lode-Events"
"2016-03-11","http://linkedevents.org/ontology/atPlace",598,605,"lode-Events"
"2016-03-11","http://linkedevents.org/ontology/atTime",605,605,"lode-Events"
"2016-03-11","http://linkedevents.org/ontology/hasCategory",508,605,"lode-Events"
"2016-03-11","http://linkedevents.org/ontology/inSpace",605,605,"lode-Events"
"2016-03-11","http://linkedevents.org/ontology/involvedAgent",7,605,"lode-Events"
"2016-03-11","http://linkedevents.org/ontology/poster",605,605,"lode-Events"
"2016-03-11","http://purl.org/dc/elements/1.1/description",575,605,"lode-Events"
"2016-03-11","http://purl.org/dc/elements/1.1/issued",605,605,"lode-Events"
"2016-03-11","http://purl.org/dc/elements/1.1/publisher",605,605,"lode-Events"
"2016-03-11","http://purl.org/dc/elements/1.1/subject",1247,605,"lode-Events"
"2016-03-11","http://www.3cixty.com/ontology#descriptionScore",605,605,"lode-Events"
"2016-03-11","http://www.3cixty.com/ontology#posterScore",605,605,"lode-Events"
"2016-03-11","http://www.w3.org/1999/02/22-rdf-syntax-ns#type",1210,605,"lode-Events"
"2016-03-11","http://www.w3.org/2000/01/rdf-schema#label",605,605,"lode-Events"
"2016-03-11","http://www.w3.org/2000/01/rdf-schema#seeAlso",99,605,"lode-Events"
"2016-03-11","http://www.w3.org/2002/07/owl#sameAs",605,605,"lode-Events"
"2016-03-22","http://data.linkedevents.org/def/location#businessType",605,605,"lode-Events"
"2016-03-22","http://data.linkedevents.org/def/location#cell",613,605,"lode-Events"
"2016-03-22","http://linkedevents.org/ontology/atPlace",598,605,"lode-Events"
"2016-03-22","http://linkedevents.org/ontology/atTime",605,605,"lode-Events"
"2016-03-22","http://linkedevents.org/ontology/hasCategory",508,605,"lode-Events"
"2016-03-22","http://linkedevents.org/ontology/inSpace",605,605,"lode-Events"
"2016-03-22","http://linkedevents.org/ontology/involvedAgent",7,605,"lode-Events"
"2016-03-22","http://linkedevents.org/ontology/poster",605,605,"lode-Events"
"2016-03-22","http://purl.org/dc/elements/1.1/description",575,605,"lode-Events"
"2016-03-22","http://purl.org/dc/elements/1.1/issued",605,605,"lode-Events"
"2016-03-22","http://purl.org/dc/elements/1.1/publisher",605,605,"lode-Events"
"2016-03-22","http://purl.org/dc/elements/1.1/subject",1247,605,"lode-Events"
"2016-03-22","http://www.3cixty.com/ontology#descriptionScore",605,605,"lode-Events"
"2016-03-22","http://www.3cixty.com/ontology#posterScore",605,605,"lode-Events"
"2016-03-22","http://www.w3.org/1999/02/22-rdf-syntax-ns#type",1210,605,"lode-Events"
"2016-03-22","http://www.w3.org/2000/01/rdf-schema#label",605,605,"lode-Events"
"2016-03-22","http://www.w3.org/2000/01/rdf-schema#seeAlso",99,605,"lode-Events"
"2016-03-22","http://www.w3.org/2002/07/owl#sameAs",605,605,"lode-Events"
"2016-04-09","http://data.linkedevents.org/def/location#businessType",1301,1301,"lode-Events"
"2016-04-09","http://data.linkedevents.org/def/location#cell",1333,1301,"lode-Events"
"2016-04-09","http://linkedevents.org/ontology/atPlace",1293,1301,"lode-Events"
"2016-04-09","http://linkedevents.org/ontology/atTime",1133,1301,"lode-Events"
"2016-04-09","http://linkedevents.org/ontology/hasCategory",980,1301,"lode-Events"
"2016-04-09","http://linkedevents.org/ontology/inSpace",1301,1301,"lode-Events"
"2016-04-09","http://linkedevents.org/ontology/involvedAgent",28,1301,"lode-Events"
"2016-04-09","http://linkedevents.org/ontology/poster",1306,1301,"lode-Events"
"2016-04-09","http://purl.org/dc/elements/1.1/description",1222,1301,"lode-Events"
"2016-04-09","http://purl.org/dc/elements/1.1/issued",1365,1301,"lode-Events"
"2016-04-09","http://purl.org/dc/elements/1.1/publisher",1301,1301,"lode-Events"
"2016-04-09","http://purl.org/dc/elements/1.1/subject",2678,1301,"lode-Events"
"2016-04-09","http://www.3cixty.com/ontology#descriptionScore",1301,1301,"lode-Events"
"2016-04-09","http://www.3cixty.com/ontology#posterScore",1301,1301,"lode-Events"
"2016-04-09","http://www.w3.org/1999/02/22-rdf-syntax-ns#type",2602,1301,"lode-Events"
"2016-04-09","http://www.w3.org/2000/01/rdf-schema#label",1312,1301,"lode-Events"
"2016-04-09","http://www.w3.org/2000/01/rdf-schema#seeAlso",348,1301,"lode-Events"
"2016-04-09","http://www.w3.org/2002/07/owl#sameAs",1301,1301,"lode-Events"
"2016-05-03","http://data.linkedevents.org/def/location#businessType",1301,1301,"lode-Events"
"2016-05-03","http://data.linkedevents.org/def/location#cell",1333,1301,"lode-Events"
"2016-05-03","http://linkedevents.org/ontology/atPlace",1293,1301,"lode-Events"
"2016-05-03","http://linkedevents.org/ontology/atTime",1133,1301,"lode-Events"
"2016-05-03","http://linkedevents.org/ontology/hasCategory",980,1301,"lode-Events"
"2016-05-03","http://linkedevents.org/ontology/inSpace",1301,1301,"lode-Events"
"2016-05-03","http://linkedevents.org/ontology/involvedAgent",28,1301,"lode-Events"
"2016-05-03","http://linkedevents.org/ontology/poster",1306,1301,"lode-Events"
"2016-05-03","http://purl.org/dc/elements/1.1/description",1222,1301,"lode-Events"
"2016-05-03","http://purl.org/dc/elements/1.1/issued",1365,1301,"lode-Events"
"2016-05-03","http://purl.org/dc/elements/1.1/publisher",1301,1301,"lode-Events"
"2016-05-03","http://purl.org/dc/elements/1.1/subject",2678,1301,"lode-Events"
"2016-05-03","http://www.3cixty.com/ontology#descriptionScore",1301,1301,"lode-Events"
"2016-05-03","http://www.3cixty.com/ontology#posterScore",1301,1301,"lode-Events"
"2016-05-03","http://www.w3.org/1999/02/22-rdf-syntax-ns#type",2602,1301,"lode-Events"
"2016-05-03","http://www.w3.org/2000/01/rdf-schema#label",1312,1301,"lode-Events"
"2016-05-03","http://www.w3.org/2000/01/rdf-schema#seeAlso",348,1301,"lode-Events"
"2016-05-03","http://www.w3.org/2002/07/owl#sameAs",1301,1301,"lode-Events"
"2016-05-13","http://data.linkedevents.org/def/location#businessType",1409,1409,"lode-Events"
"2016-05-13","http://data.linkedevents.org/def/location#cell",1443,1409,"lode-Events"
"2016-05-13","http://linkedevents.org/ontology/atPlace",1365,1409,"lode-Events"
"2016-05-13","http://linkedevents.org/ontology/atTime",1241,1409,"lode-Events"
"2016-05-13","http://linkedevents.org/ontology/hasCategory",1023,1409,"lode-Events"
"2016-05-13","http://linkedevents.org/ontology/inSpace",1409,1409,"lode-Events"
"2016-05-13","http://linkedevents.org/ontology/involvedAgent",34,1409,"lode-Events"
"2016-05-13","http://linkedevents.org/ontology/poster",1414,1409,"lode-Events"
"2016-05-13","http://purl.org/dc/elements/1.1/description",1322,1409,"lode-Events"
"2016-05-13","http://purl.org/dc/elements/1.1/issued",1472,1409,"lode-Events"
"2016-05-13","http://purl.org/dc/elements/1.1/publisher",1409,1409,"lode-Events"
"2016-05-13","http://purl.org/dc/elements/1.1/subject",2832,1409,"lode-Events"
"2016-05-13","http://www.3cixty.com/ontology#descriptionScore",1409,1409,"lode-Events"
"2016-05-13","http://www.3cixty.com/ontology#posterScore",1409,1409,"lode-Events"
"2016-05-13","http://www.w3.org/1999/02/22-rdf-syntax-ns#type",2818,1409,"lode-Events"
"2016-05-13","http://www.w3.org/2000/01/rdf-schema#label",1419,1409,"lode-Events"
"2016-05-13","http://www.w3.org/2000/01/rdf-schema#seeAlso",412,1409,"lode-Events"
"2016-05-13","http://www.w3.org/2002/07/owl#sameAs",1409,1409,"lode-Events"
"2016-05-27","http://data.linkedevents.org/def/location#businessType",1883,1883,"lode-Events"
"2016-05-27","http://data.linkedevents.org/def/location#cell",1926,1883,"lode-Events"
"2016-05-27","http://linkedevents.org/ontology/atPlace",1507,1883,"lode-Events"
"2016-05-27","http://linkedevents.org/ontology/atTime",1715,1883,"lode-Events"
"2016-05-27","http://linkedevents.org/ontology/hasCategory",1446,1883,"lode-Events"
"2016-05-27","http://linkedevents.org/ontology/inSpace",1883,1883,"lode-Events"
"2016-05-27","http://linkedevents.org/ontology/involvedAgent",39,1883,"lode-Events"
"2016-05-27","http://linkedevents.org/ontology/poster",1888,1883,"lode-Events"
"2016-05-27","http://purl.org/dc/elements/1.1/description",1788,1883,"lode-Events"
"2016-05-27","http://purl.org/dc/elements/1.1/issued",2159,1883,"lode-Events"
"2016-05-27","http://purl.org/dc/elements/1.1/publisher",1883,1883,"lode-Events"
"2016-05-27","http://purl.org/dc/elements/1.1/subject",3252,1883,"lode-Events"
"2016-05-27","http://www.3cixty.com/ontology#descriptionScore",1883,1883,"lode-Events"
"2016-05-27","http://www.3cixty.com/ontology#posterScore",1883,1883,"lode-Events"
"2016-05-27","http://www.w3.org/1999/02/22-rdf-syntax-ns#type",3766,1883,"lode-Events"
"2016-05-27","http://www.w3.org/2000/01/rdf-schema#label",1894,1883,"lode-Events"
"2016-05-27","http://www.w3.org/2000/01/rdf-schema#seeAlso",706,1883,"lode-Events"
"2016-05-27","http://www.w3.org/2002/07/owl#sameAs",1580,1883,"lode-Events"
"2016-05-27","http://purl.org/dc/elements/1.1/identifier",468,1883,"lode-Events"
"2016-06-15","http://data.linkedevents.org/def/location#businessType",2182,2182,"lode-Events"
"2016-06-15","http://data.linkedevents.org/def/location#cell",2226,2182,"lode-Events"
"2016-06-15","http://linkedevents.org/ontology/atPlace",1632,2182,"lode-Events"
"2016-06-15","http://linkedevents.org/ontology/atTime",2014,2182,"lode-Events"
"2016-06-15","http://linkedevents.org/ontology/hasCategory",1698,2182,"lode-Events"
"2016-06-15","http://linkedevents.org/ontology/inSpace",2182,2182,"lode-Events"
"2016-06-15","http://linkedevents.org/ontology/involvedAgent",266,2182,"lode-Events"
"2016-06-15","http://linkedevents.org/ontology/poster",2187,2182,"lode-Events"
"2016-06-15","http://purl.org/dc/elements/1.1/description",2024,2182,"lode-Events"
"2016-06-15","http://purl.org/dc/elements/1.1/issued",2475,2182,"lode-Events"
"2016-06-15","http://purl.org/dc/elements/1.1/publisher",2182,2182,"lode-Events"
"2016-06-15","http://purl.org/dc/elements/1.1/subject",3762,2182,"lode-Events"
"2016-06-15","http://www.3cixty.com/ontology#descriptionScore",2182,2182,"lode-Events"
"2016-06-15","http://www.3cixty.com/ontology#posterScore",2182,2182,"lode-Events"
"2016-06-15","http://www.w3.org/1999/02/22-rdf-syntax-ns#type",4364,2182,"lode-Events"
"2016-06-15","http://www.w3.org/2000/01/rdf-schema#label",2189,2182,"lode-Events"
"2016-06-15","http://www.w3.org/2000/01/rdf-schema#seeAlso",851,2182,"lode-Events"
"2016-06-15","http://www.w3.org/2002/07/owl#sameAs",1777,2182,"lode-Events"
"2016-06-15","http://purl.org/dc/elements/1.1/identifier",770,2182,"lode-Events"
"2016-09-09","http://data.linkedevents.org/def/location#businessType",689,689,"lode-Events"
"2016-09-09","http://data.linkedevents.org/def/location#cell",724,689,"lode-Events"
"2016-09-09","http://linkedevents.org/ontology/atPlace",424,689,"lode-Events"
"2016-09-09","http://linkedevents.org/ontology/atTime",490,689,"lode-Events"
"2016-09-09","http://linkedevents.org/ontology/hasCategory",584,689,"lode-Events"
"2016-09-09","http://linkedevents.org/ontology/inSpace",689,689,"lode-Events"
"2016-09-09","http://linkedevents.org/ontology/involvedAgent",42,689,"lode-Events"
"2016-09-09","http://linkedevents.org/ontology/poster",380,689,"lode-Events"
"2016-09-09","http://purl.org/dc/elements/1.1/description",650,689,"lode-Events"
"2016-09-09","http://purl.org/dc/elements/1.1/issued",684,689,"lode-Events"
"2016-09-09","http://purl.org/dc/elements/1.1/publisher",689,689,"lode-Events"
"2016-09-09","http://purl.org/dc/elements/1.1/subject",1020,689,"lode-Events"
"2016-09-09","http://www.3cixty.com/ontology#descriptionScore",689,689,"lode-Events"
"2016-09-09","http://www.3cixty.com/ontology#posterScore",689,689,"lode-Events"
"2016-09-09","http://www.w3.org/1999/02/22-rdf-syntax-ns#type",1378,689,"lode-Events"
"2016-09-09","http://www.w3.org/2000/01/rdf-schema#label",686,689,"lode-Events"
"2016-09-09","http://www.w3.org/2000/01/rdf-schema#seeAlso",334,689,"lode-Events"
"2016-09-09","http://www.w3.org/2002/07/owl#sameAs",439,689,"lode-Events"
"2016-09-09","http://purl.org/dc/elements/1.1/identifier",453,689,"lode-Events"
"2016-09-09","http://3cixty.com/ontology#minDistanceNearestWeatherStation",689,689,"lode-Events"
"2016-09-09","http://3cixty.com/ontology#nearestWeatherStation",689,689,"lode-Events"
