"","version","Release","count","class"
"1","3.3","2009-05-20",51809,"dbo-animal"
"2","3.4","2009-09-20",87543,"dbo-animal"
"3","3.5","2010-03-16",96534,"dbo-animal"
"4","3.6","2010-10-11",116528,"dbo-animal"
"5","3.7","2011-07-22",129027,"dbo-animal"
"6","3.8","2012-06-01",145909,"dbo-animal"
"7","3.9","2013-04-03",178289,"dbo-animal"
"8","2014","2014-05-02",195176,"dbo-animal"
"9","2015-04","2015-02-05",214106,"dbo-animal"
"10","2015-10","2015-10-02",232019,"dbo-animal"
"11","2016-04","2016-04-01",227963,"dbo-animal"
"12","3.3","2009-05-20",65109,"dbo-artist"
"13","3.4","2009-09-20",71789,"dbo-artist"
"14","3.5","2010-03-16",73721,"dbo-artist"
"15","3.6","2010-10-11",83847,"dbo-artist"
"16","3.7","2011-07-22",57772,"dbo-artist"
"17","3.8","2012-06-01",61073,"dbo-artist"
"18","3.9","2013-04-03",93532,"dbo-artist"
"19","2014","2014-05-02",96300,"dbo-artist"
"20","2015-04","2015-02-05",175881,"dbo-artist"
"21","2015-10","2015-10-02",184371,"dbo-artist"
"22","2016-04","2016-04-01",145879,"dbo-artist"
"23","3.3","2009-05-20",95964,"dbo-athlete"
"24","3.4","2009-09-20",113389,"dbo-athlete"
"25","3.5","2010-03-16",73721,"dbo-athlete"
"26","3.6","2010-10-11",133156,"dbo-athlete"
"27","3.7","2011-07-22",150978,"dbo-athlete"
"28","3.8","2012-06-01",185126,"dbo-athlete"
"29","3.9","2013-04-03",313730,"dbo-athlete"
"30","2014","2014-05-02",336091,"dbo-athlete"
"31","2015-04","2015-02-05",335978,"dbo-athlete"
"32","2015-10","2015-10-02",434609,"dbo-athlete"
"33","2016-04","2016-04-01",371804,"dbo-athlete"
"34","3.3","2009-05-20",40310,"dbo-film"
"35","3.4","2009-09-20",44706,"dbo-film"
"36","3.5","2010-03-16",49182,"dbo-film"
"37","3.6","2010-10-11",53619,"dbo-film"
"38","3.7","2011-07-22",60194,"dbo-film"
"39","3.8","2012-06-01",71715,"dbo-film"
"40","3.9","2013-04-03",77794,"dbo-film"
"41","2014","2014-05-02",87285,"dbo-film"
"42","2015-04","2015-02-05",171272,"dbo-film"
"43","2015-10","2015-10-02",177989,"dbo-film"
"44","2016-04","2016-04-01",146449,"dbo-film"
"45","3.3","2009-05-20",113329,"dbo-musicalWork"
"46","3.4","2009-09-20",120068,"dbo-musicalWork"
"47","3.5","2010-03-16",131040,"dbo-musicalWork"
"48","3.6","2010-10-11",138921,"dbo-musicalWork"
"49","3.7","2011-07-22",110515,"dbo-musicalWork"
"50","3.8","2012-06-01",159071,"dbo-musicalWork"
"51","3.9","2013-04-03",198516,"dbo-musicalWork"
"52","2014","2014-05-02",193205,"dbo-musicalWork"
"53","2015-04","2015-02-05",163958,"dbo-musicalWork"
"54","2015-10","2015-10-02",213785,"dbo-musicalWork"
"55","2016-04","2016-04-01",203392,"dbo-musicalWork"
"56","3.3","2009-05-20",105827,"dbo-organisation"
"57","3.4","2009-09-20",118378,"dbo-organisation"
"58","3.5","2010-03-16",140102,"dbo-organisation"
"59","3.6","2010-10-11",147889,"dbo-organisation"
"60","3.7","2011-07-22",169338,"dbo-organisation"
"61","3.8","2012-06-01",192832,"dbo-organisation"
"62","3.9","2013-04-03",329500,"dbo-organisation"
"63","2014","2014-05-02",302658,"dbo-organisation"
"64","2015-04","2015-02-05",322402,"dbo-organisation"
"65","2015-10","2015-10-02",435522,"dbo-organisation"
"66","2016-04","2016-04-01",359462,"dbo-organisation"
"67","3.3","2009-05-20",318017,"dbo-place"
"68","3.4","2009-09-20",337551,"dbo-place"
"69","3.5","2010-03-16",413423,"dbo-place"
"70","3.5","2010-03-16",413423,"dbo-place"
"71","3.7","2011-07-22",525786,"dbo-place"
"72","3.8","2012-06-01",572728,"dbo-place"
"73","3.9","2013-04-03",754415,"dbo-place"
"74","2014","2014-05-02",816837,"dbo-place"
"75","2015-04","2015-02-05",943799,"dbo-place"
"76","2015-10","2015-10-02",1122785,"dbo-place"
"77","2016-04","2016-04-01",925383,"dbo-place"
"78","3.3","2009-05-20",118042,"dbo-species"
"79","3.4","2009-09-20",130466,"dbo-species"
"80","3.5","2010-03-16",146082,"dbo-species"
"81","3.6","2010-10-11",168575,"dbo-species"
"82","3.7","2011-07-22",182848,"dbo-species"
"83","3.8","2012-06-01",202339,"dbo-species"
"84","3.9","2013-04-03",239194,"dbo-species"
"85","2014","2014-05-02",261435,"dbo-species"
"86","2015-04","2015-02-05",285320,"dbo-species"
"87","2015-10","2015-10-02",305378,"dbo-species"
"88","2016-04","2016-04-01",301715,"dbo-species"
"89","3.3","2009-05-20",213231,"dbo-work"
"90","3.4","2009-09-20",229152,"dbo-work"
"91","3.5","2010-03-16",320054,"dbo-work"
"92","3.6","2010-10-11",355100,"dbo-work"
"93","3.7","2011-07-22",262662,"dbo-work"
"94","3.8","2012-06-01",333270,"dbo-work"
"95","3.9","2013-04-03",409594,"dbo-work"
"96","2014","2014-05-02",425044,"dbo-work"
"97","2015-04","2015-02-05",588205,"dbo-work"
"98","2015-10","2015-10-02",683923,"dbo-work"
"99","2016-04","2016-04-01",571847,"dbo-work"
"100","3.3","2009-05-20",29498,"foaf-person"
"101","3.4","2009-09-20",30860,"foaf-person"
"102","3.5","2010-03-16",48692,"foaf-person"
"103","3.6","2010-10-11",296595,"foaf-person"
"104","3.7","2011-07-22",825566,"foaf-person"
"105","3.8","2012-06-01",1266984,"foaf-person"
"106","3.9","2013-04-03",1555597,"foaf-person"
"107","2014","2014-05-02",1650315,"foaf-person"
"108","2015-04","2015-02-05",2137101,"foaf-person"
"109","2015-10","2015-10-02",1840598,"foaf-person"
"110","2016-04","2016-04-01",2703493,"foaf-person"
