"v2015-02-05","v2015-10-02","v2009-05-20","v2009-09-20","v2010-03-16","v2016-04-01","v2010-10-11","v2011-07-22","v2012-06-01","v2013-0-03","v2014-05-02","property"
0,0,0,12,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Artist/genre"
0,0,0,3,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Artist/instrument"
0,0,0,14,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Artist/label"
3,1,0,0,1,0,0,0,0,0,0," http://dbpedia.org/ontology/Astronaut/timeInSpace"
0,0,0,24799,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Athlete/currentNumber"
0,0,0,82087,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Athlete/currentPosition"
0,0,0,56280,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Athlete/currentTeam"
0,0,0,40887,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Athlete/formerTeam"
0,2,0,0,2,0,0,0,0,0,0," http://dbpedia.org/ontology/Automobile/wheelbase"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Award/country"
0,0,0,24,0,0,0,0,0,0,0," http://dbpedia.org/ontology/BadmintonPlayer/coach"
0,0,0,9933,0,0,0,0,0,0,0," http://dbpedia.org/ontology/BaseballPlayer/statisticLabel"
0,0,0,10076,0,0,0,0,0,0,0," http://dbpedia.org/ontology/BaseballPlayer/statisticValue"
0,0,0,1935,0,0,0,0,0,0,0," http://dbpedia.org/ontology/BaseballPlayer/statisticYear"
0,0,0,1227,0,0,0,0,0,0,0," http://dbpedia.org/ontology/BasketballPlayer/college"
0,0,0,1155,0,0,0,0,0,0,0," http://dbpedia.org/ontology/BasketballPlayer/draft"
0,0,0,907,0,0,0,0,0,0,0," http://dbpedia.org/ontology/BasketballPlayer/draftTeam"
0,0,0,1076,0,0,0,0,0,0,0," http://dbpedia.org/ontology/BasketballPlayer/draftYear"
0,0,0,740,0,0,0,0,0,0,0," http://dbpedia.org/ontology/BasketballPlayer/highschool"
0,0,0,608,0,0,0,0,0,0,0," http://dbpedia.org/ontology/BasketballPlayer/league"
0,0,0,497,0,0,0,0,0,0,0," http://dbpedia.org/ontology/BasketballPlayer/number"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Book/country"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Book/isbn"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Book/mediaType"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Book/pages"
0,0,0,0,1,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/floorArea"
0,0,0,64,0,0,0,0,0,0,0," http://dbpedia.org/ontology/CollegeCoach/coachedTeam"
0,0,0,13,0,0,0,0,0,0,0," http://dbpedia.org/ontology/CollegeCoach/college"
0,0,0,3,0,0,0,0,0,0,0," http://dbpedia.org/ontology/CollegeCoach/currentRecord"
0,0,0,14,0,0,0,0,0,0,0," http://dbpedia.org/ontology/CollegeCoach/overallRecord"
0,0,0,11,0,0,0,0,0,0,0," http://dbpedia.org/ontology/CollegeCoach/titel"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Cricketer/country"
0,0,0,1671,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Cricketer/debutDate"
0,0,0,1964,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Cricketer/debutYear"
0,0,0,1863,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Cricketer/fc"
0,0,0,1864,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Cricketer/fcRuns"
0,0,0,1677,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Cricketer/lastDate"
0,0,0,1963,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Cricketer/lastYear"
0,0,0,973,0,0,0,0,0,0,0," http://dbpedia.org/ontology/FigureSkater/choreographer"
0,0,0,1250,0,0,0,0,0,0,0," http://dbpedia.org/ontology/FigureSkater/coach"
0,0,0,12,0,0,0,0,0,0,0," http://dbpedia.org/ontology/FigureSkater/country"
0,0,0,440,0,0,0,0,0,0,0," http://dbpedia.org/ontology/FigureSkater/currentPartner"
0,0,0,284,0,0,0,0,0,0,0," http://dbpedia.org/ontology/FigureSkater/formerChoreographer"
