"v2015-02-05","v2015-10-02","v2009-05-20","v2009-09-20","v2010-03-16","v2016-04-01","v2010-10-11","v2011-07-22","v2012-06-01","v2013-0-03","v2014-05-02","property"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Album/director"
0,0,0,8,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Album/longtype"
0,0,0,418,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Album/producer"
0,0,0,273,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Album/review"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Artist/genre"
0,0,0,0,1,0,0,0,0,0,0," http://dbpedia.org/ontology/Automobile/fuelCapacity"
0,9,0,0,16,0,0,0,0,0,0," http://dbpedia.org/ontology/Automobile/wheelbase"
0,0,0,27,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Book/country"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Book/coverArtist"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Book/illustrator"
0,0,0,29,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Book/isbn"
0,0,0,27,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Book/mediaType"
0,0,0,18,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Book/pages"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Book/series"
0,0,0,3,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Book/subject"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Book/translator"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Bridge/mainspan"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/architectualBureau"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/openingDate"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Company/industry"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Event/date"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Event/followingEvent"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Event/location"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Event/previousEvent"
0,0,0,2416,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Film/amgid"
0,0,0,5973,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Film/budget"
0,0,0,17048,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Film/cinematography"
0,0,0,15595,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Film/country"
0,0,0,40533,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Film/director"
0,0,0,26564,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Film/distributor"
0,0,0,14063,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Film/editing"
0,0,0,3500,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Film/gross"
0,0,0,18876,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Film/imdbid"
0,0,0,24788,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Film/music"
0,0,0,907,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Film/narrator"
0,0,0,37429,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Film/producer"
0,0,0,141863,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Film/starring"
0,0,0,49777,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Film/writer"
0,1,0,0,2,0,0,0,0,0,0," http://dbpedia.org/ontology/Infrastructure/length"
0,1,0,0,1,0,0,0,0,0,0," http://dbpedia.org/ontology/Lake/areaOfCatchment"
1,1,0,0,1,0,0,0,0,0,0," http://dbpedia.org/ontology/Lake/shoreLength"
1,1,0,0,2,0,0,0,0,0,0," http://dbpedia.org/ontology/Lake/volume"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Magazine/editor"
0,9,0,0,21,0,0,0,0,0,0," http://dbpedia.org/ontology/MeanOfTransportation/height"
0,11,0,0,27,0,0,0,0,0,0," http://dbpedia.org/ontology/MeanOfTransportation/length"
0,4,0,0,9,0,0,0,0,0,0," http://dbpedia.org/ontology/MeanOfTransportation/weight"
0,9,0,0,22,0,0,0,0,0,0," http://dbpedia.org/ontology/MeanOfTransportation/width"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Musical/lyrics"
0,0,0,3,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Musical/musicBy"
0,0,0,553,0,0,0,0,0,0,0," http://dbpedia.org/ontology/MusicalWork/artist"
0,0,0,539,0,0,0,0,0,0,0," http://dbpedia.org/ontology/MusicalWork/label"
0,0,0,173,0,0,0,0,0,0,0," http://dbpedia.org/ontology/MusicalWork/recordDate"
0,0,0,171,0,0,0,0,0,0,0," http://dbpedia.org/ontology/MusicalWork/recordPlace"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Organisation/foundationDate"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Organisation/foundationPlace"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Organisation/keyPerson"
0,0,0,3,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Organisation/keyPersonPosition"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Organisation/location"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Person/birthDate"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Person/birthName"
0,0,0,3,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Person/birthPlace"
49,83,0,0,94,0,0,0,0,0,0," http://dbpedia.org/ontology/Person/height"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Person/nationality"
0,0,0,3,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Person/occupation"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Person/pseudonym"
8,14,0,0,14,0,0,0,0,0,0," http://dbpedia.org/ontology/Person/weight"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Place/coordinates"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Place/length"
2,2,0,0,9,0,0,0,0,0,0," http://dbpedia.org/ontology/PopulatedPlace/areaTotal"
0,0,0,0,1,0,0,0,0,0,0," http://dbpedia.org/ontology/PopulatedPlace/areaUrban"
0,0,0,0,3,0,0,0,0,0,0," http://dbpedia.org/ontology/PopulatedPlace/populationDensity"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Single/album"
0,0,0,3,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Single/format"
0,0,0,4,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Single/musicalArtist"
0,0,0,4,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Single/musicalBand"
0,0,0,5,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Single/writer"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/TelevisionEpisode/director"
0,0,0,3,0,0,0,0,0,0,0," http://dbpedia.org/ontology/TelevisionEpisode/episodeNumber"
0,0,0,3,0,0,0,0,0,0,0," http://dbpedia.org/ontology/TelevisionEpisode/seasonNumber"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/TelevisionEpisode/series"
0,0,0,6,0,0,0,0,0,0,0," http://dbpedia.org/ontology/TelevisionEpisode/writer"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/TelevisionShow/composer"
0,0,0,8,0,0,0,0,0,0,0," http://dbpedia.org/ontology/TelevisionShow/country"
0,0,0,6,0,0,0,0,0,0,0," http://dbpedia.org/ontology/TelevisionShow/creator"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/TelevisionShow/developer"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/TelevisionShow/director"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/TelevisionShow/distributor"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/TelevisionShow/endingTheme"
0,0,0,11,0,0,0,0,0,0,0," http://dbpedia.org/ontology/TelevisionShow/episodeNumber"
0,0,0,13,0,0,0,0,0,0,0," http://dbpedia.org/ontology/TelevisionShow/network"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/TelevisionShow/openingTheme"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/TelevisionShow/producer"
0,0,0,3,0,0,0,0,0,0,0," http://dbpedia.org/ontology/TelevisionShow/seasonNumber"
0,0,0,36,0,0,0,0,0,0,0," http://dbpedia.org/ontology/TelevisionShow/starring"
0,0,0,10,0,0,0,0,0,0,0," http://dbpedia.org/ontology/VideoGame/developer"
0,0,0,21,0,0,0,0,0,0,0," http://dbpedia.org/ontology/VideoGame/platform"
0,2,0,0,2,0,0,0,0,0,0," http://dbpedia.org/ontology/Weapon/height"
0,9,0,0,5,0,0,0,0,0,0," http://dbpedia.org/ontology/Weapon/length"
0,9,0,0,5,0,0,0,0,0,0," http://dbpedia.org/ontology/Weapon/weight"
0,2,0,0,2,0,0,0,0,0,0," http://dbpedia.org/ontology/Weapon/width"
0,0,0,34,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Work/author"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Work/basedOn"
0,0,0,8,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Work/completionDate"
0,0,0,975,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Work/genre"
0,0,0,33332,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Work/language"
0,0,0,3084,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Work/previousWork"
0,0,0,5,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Work/publishDate"
0,0,0,31,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Work/publisher"
