"v2015-02-05","v2015-10-02","v2009-05-20","v2009-09-20","v2010-03-16","v2016-04-01","v2010-10-11","v2011-07-22","v2012-06-01","v2013-0-03","v2014-05-02","property"
0,0,0,185,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Airline/alliance"
0,0,0,315,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Airline/destination"
0,0,0,4385,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Airline/headquarter"
0,0,0,2968,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Airline/hubAirport"
0,0,0,59,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Airline/lounge"
0,0,0,933,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Airline/targetAirport"
0,0,0,34,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Album/producer"
0,0,0,38,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Album/review"
0,0,0,38236,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Artist/genre"
0,0,0,1182,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Artist/instrument"
0,0,0,24293,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Artist/label"
4,2,0,0,2,0,0,0,0,0,0," http://dbpedia.org/ontology/Astronaut/timeInSpace"
0,0,0,10,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Automobile/assembly"
0,0,0,4,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Automobile/bodyStyle"
0,0,0,5,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Automobile/class"
0,0,0,7,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Automobile/engine"
0,0,0,8,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Automobile/height"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Automobile/layout"
0,0,0,12,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Automobile/length"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Automobile/parentCompany"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Automobile/platform"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Automobile/relatedAutomobile"
0,0,0,7,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Automobile/transmission"
0,0,0,4,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Automobile/weight"
3,7,0,9,10,0,0,0,0,0,0," http://dbpedia.org/ontology/Automobile/wheelbase"
0,0,0,11,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Automobile/width"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Beverage/introduced"
0,0,0,6,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Beverage/manufacturer"
0,0,0,3,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Beverage/origin"
0,0,0,4,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Beverage/related"
0,0,0,3,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Beverage/variant"
0,0,0,1775,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Broadcast/airDate"
0,0,0,1235,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Broadcast/broadcastArea"
0,0,0,241,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Broadcast/closingDate"
0,0,0,208,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Broadcast/coordinates"
0,0,0,1637,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Broadcast/country"
0,0,0,383,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Broadcast/language"
0,0,0,288,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Broadcast/network"
0,0,0,1239,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Broadcast/sisterStation"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/architect"
0,0,0,4,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/buildingEndDate"
0,0,0,4,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/buildingStartDate"
17,48,0,2,50,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/floorArea"
0,0,0,9,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/openingDate"
0,0,0,28,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/owner"
0,0,0,22,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/owningOrganisation"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/rebuildingDate"
0,0,0,8,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/tenant"
0,2,0,0,2,0,0,0,0,0,0," http://dbpedia.org/ontology/Canal/maximumBoatBeam"
0,2,0,0,2,0,0,0,0,0,0," http://dbpedia.org/ontology/Canal/maximumBoatLength"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/City/gaelicName"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/College/sisterCollege"
0,0,0,3530,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Company/areaServed"
0,0,0,868,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Company/assets"
0,0,0,176,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Company/currentStatus"
0,0,0,459,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Company/division"
0,0,0,316,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Company/equity"
0,0,0,22378,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Company/industry"
0,0,0,325,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Company/language"
0,0,0,2522,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Company/netIncome"
0,0,0,1625,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Company/operatingIncome"
0,0,0,1018,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Company/owner"
0,0,0,3651,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Company/parentCompany"
0,0,0,22235,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Company/product"
0,0,0,1392,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Company/service"
0,0,0,1780,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Company/subsidiary"
0,0,0,24088,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/city"
0,0,0,301,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/closed"
0,0,0,14496,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/colours"
0,0,0,1715,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/coordinates"
0,0,0,16566,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/country"
0,0,0,4277,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/county"
0,0,0,302,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/dean"
0,0,0,181,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/director"
0,0,0,21072,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/established"
0,0,0,26,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/graduates"
0,0,0,572,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/head"
0,0,0,9218,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/mascot"
0,0,0,2696,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/nickname"
0,0,0,2180,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/principal"
0,0,0,2089,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/province"
0,0,0,425,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/rector"
0,0,0,842,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/sport"
0,0,0,3100,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/staff"
0,0,0,13729,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/state"
0,0,0,17782,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/students"
0,0,0,295,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/superintendent"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/EducationalInstitution/undergraduates"
0,0,0,0,1,0,0,0,0,0,0," http://dbpedia.org/ontology/Engine/cylinderBore"
0,0,0,0,1,0,0,0,0,0,0," http://dbpedia.org/ontology/Engine/displacement"
0,0,0,0,1,0,0,0,0,0,0," http://dbpedia.org/ontology/Engine/pistonStroke"
0,0,0,0,1,0,0,0,0,0,0," http://dbpedia.org/ontology/Engine/torqueOutput"
0,0,0,0,1,0,0,0,0,0,0," http://dbpedia.org/ontology/Engine/weight"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Event/date"
0,0,0,4,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Event/location"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Event/startDate"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Film/cinematography"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Film/country"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Film/director"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Film/editing"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Film/producer"
0,0,0,4,0,0,0,0,0,0,0," http://dbpedia.org/ontology/FootballTeam/chairman"
0,0,0,68,0,0,0,0,0,0,0," http://dbpedia.org/ontology/FootballTeam/city"
0,0,0,32,0,0,0,0,0,0,0," http://dbpedia.org/ontology/FootballTeam/coach"
0,0,0,24,0,0,0,0,0,0,0," http://dbpedia.org/ontology/FootballTeam/generalManager"
0,0,0,43,0,0,0,0,0,0,0," http://dbpedia.org/ontology/FootballTeam/owner"
0,0,0,3,0,0,0,0,0,0,0," http://dbpedia.org/ontology/FootballTeam/president"
0,0,0,3,0,0,0,0,0,0,0," http://dbpedia.org/ontology/FootballTeam/teamOwner"
0,0,0,99,0,0,0,0,0,0,0," http://dbpedia.org/ontology/HistoricPlace/added"
0,0,0,19,0,0,0,0,0,0,0," http://dbpedia.org/ontology/HistoricPlace/architect"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Hospital/bedCount"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Hospital/country"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Hospital/region"
92,16,0,0,20,0,0,0,0,0,0," http://dbpedia.org/ontology/Infrastructure/length"
5,31,0,0,31,0,0,0,0,0,0," http://dbpedia.org/ontology/Lake/areaOfCatchment"
7,35,0,0,33,0,0,0,0,0,0," http://dbpedia.org/ontology/Lake/shoreLength"
7,13,0,0,11,0,0,0,0,0,0," http://dbpedia.org/ontology/Lake/volume"
0,0,0,175,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Legislature/house"
0,0,0,281,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Legislature/leader"
0,0,0,722,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Legislature/meetingBuilding"
0,0,0,722,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Legislature/meetingCity"
0,0,0,328,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Legislature/numberOfMembers"
0,0,0,3,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Magazine/editor"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Magazine/editorTitle"
