"v2015-02-05","v2015-10-02","v2009-05-20","v2009-09-20","v2010-03-16","v2016-04-01","v2010-10-11","v2011-07-22","v2012-06-01","v2013-0-03","v2014-05-02","property"
0,0,0,6,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Architect/significantBuilding"
0,0,0,107,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Area/cityType"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Area/department"
0,0,0,399,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Area/memberOfParliament"
0,0,0,218,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Area/twinCity"
0,0,0,37,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Area/twinCountry"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Artist/movement"
2,2,0,0,2,0,0,0,0,0,0," http://dbpedia.org/ontology/Astronaut/timeInSpace"
0,16,0,0,14,0,0,0,0,0,0," http://dbpedia.org/ontology/Automobile/wheelbase"
0,0,0,7107,0,0,0,0,0,0,0," http://dbpedia.org/ontology/BodyOfWater/city"
0,0,0,8810,0,0,0,0,0,0,0," http://dbpedia.org/ontology/BodyOfWater/country"
0,0,0,8362,0,0,0,0,0,0,0," http://dbpedia.org/ontology/BodyOfWater/district"
0,0,0,129,0,0,0,0,0,0,0," http://dbpedia.org/ontology/BodyOfWater/region"
0,0,0,39,0,0,0,0,0,0,0," http://dbpedia.org/ontology/BodyOfWater/state"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Book/country"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Book/isbn"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Book/mediaType"
0,0,0,2,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Book/pages"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Book/subject"
0,0,0,1781,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Bridge/crosses"
0,0,0,3030,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Bridge/locatedInArea"
0,0,0,719,0,792,880,0,0,0,0," http://dbpedia.org/ontology/Bridge/mainspan"
0,0,0,221,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Bridge/unitedStatesNationalBridgeId"
0,0,0,1,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Broadcast/airDate"
0,0,0,4867,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/address"
0,0,0,2636,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/architect"
0,0,0,1484,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/architectualBureau"
0,0,0,302,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/architecturalStyle"
0,0,0,51,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/awards"
0,0,0,4063,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/buildingEndDate"
0,0,0,2266,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/buildingStartDate"
0,0,0,670,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/closingDate"
0,0,0,420,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/cost"
0,0,0,241,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/demolitionDate"
0,0,0,15,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/destructionDate"
670,3766,0,1817,3877,1652,1857,2383,2620,2943,3424," http://dbpedia.org/ontology/Building/floorArea"
0,0,0,2347,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/floorCount"
0,0,0,128,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/formerName"
0,0,0,9408,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/openingDate"
0,0,0,6295,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/owner"
0,0,0,3597,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/owningOrganisation"
0,0,0,996,0,0,0,0,0,0,0," http://dbpedia.org/ontology/Building/rebuildingDate"
