"","p","dep","freq","number_of_distinct_entity","normFreq","mean","sd","sem"
"1","http://3cixty.com/ontology#minDistanceNearestWeatherStation","2016-09-09",689,689,1,1,0,0
"2","http://3cixty.com/ontology#nearestWeatherStation","2016-09-09",689,689,1,1,0,0
"3","http://data.linkedevents.org/def/location#businessType","2016-03-11",605,605,1,1,0,0
"4","http://data.linkedevents.org/def/location#businessType","2016-05-03",1301,1301,1,1,0,0
"5","http://data.linkedevents.org/def/location#businessType","2016-05-13",1409,1409,1,1,0,0
"6","http://data.linkedevents.org/def/location#businessType","2016-06-15",2182,2182,1,1,0,0
"7","http://data.linkedevents.org/def/location#businessType","2016-09-09",689,689,1,1,0,0
"8","http://data.linkedevents.org/def/location#businessType","2016-03-22",605,605,1,1,0,0
"9","http://data.linkedevents.org/def/location#businessType","2016-05-27",1883,1883,1,1,0,0
"10","http://data.linkedevents.org/def/location#businessType","2016-04-09",1301,1301,1,1,0,0
"11","http://data.linkedevents.org/def/location#cell","2016-06-15",2226,2182,1.02016498625115,1.0241961179168,0.0117528805321115,0.0041552707613657
"12","http://data.linkedevents.org/def/location#cell","2016-09-09",724,689,1.05079825834543,1.0241961179168,0.0117528805321115,0.0041552707613657
"13","http://data.linkedevents.org/def/location#cell","2016-05-03",1333,1301,1.02459646425826,1.0241961179168,0.0117528805321115,0.0041552707613657
"14","http://data.linkedevents.org/def/location#cell","2016-05-13",1443,1409,1.02413058907026,1.0241961179168,0.0117528805321115,0.0041552707613657
"15","http://data.linkedevents.org/def/location#cell","2016-04-09",1333,1301,1.02459646425826,1.0241961179168,0.0117528805321115,0.0041552707613657
"16","http://data.linkedevents.org/def/location#cell","2016-03-11",613,605,1.01322314049587,1.0241961179168,0.0117528805321115,0.0041552707613657
"17","http://data.linkedevents.org/def/location#cell","2016-05-27",1926,1883,1.02283590015932,1.0241961179168,0.0117528805321115,0.0041552707613657
"18","http://data.linkedevents.org/def/location#cell","2016-03-22",613,605,1.01322314049587,1.0241961179168,0.0117528805321115,0.0041552707613657
"19","http://linkedevents.org/ontology/atPlace","2016-05-13",1365,1409,0.968772178850248,0.887121797320748,0.14673771008109,0.0518796149270623
"20","http://linkedevents.org/ontology/atPlace","2016-05-27",1507,1883,0.800318640467339,0.887121797320748,0.14673771008109,0.0518796149270623
"21","http://linkedevents.org/ontology/atPlace","2016-04-09",1293,1301,0.993850883935434,0.887121797320748,0.14673771008109,0.0518796149270623
"22","http://linkedevents.org/ontology/atPlace","2016-06-15",1632,2182,0.747937671860678,0.887121797320748,0.14673771008109,0.0518796149270623
"23","http://linkedevents.org/ontology/atPlace","2016-05-03",1293,1301,0.993850883935434,0.887121797320748,0.14673771008109,0.0518796149270623
"24","http://linkedevents.org/ontology/atPlace","2016-09-09",424,689,0.615384615384615,0.887121797320748,0.14673771008109,0.0518796149270623
"25","http://linkedevents.org/ontology/atPlace","2016-03-11",598,605,0.988429752066116,0.887121797320748,0.14673771008109,0.0518796149270623
"26","http://linkedevents.org/ontology/atPlace","2016-03-22",598,605,0.988429752066116,0.887121797320748,0.14673771008109,0.0518796149270623
"27","http://linkedevents.org/ontology/atTime","2016-05-13",1241,1409,0.880766501064585,0.895933291058224,0.0912101728982651,0.0322476658847803
"28","http://linkedevents.org/ontology/atTime","2016-05-27",1715,1883,0.910780669144981,0.895933291058224,0.0912101728982651,0.0322476658847803
"29","http://linkedevents.org/ontology/atTime","2016-04-09",1133,1301,0.87086856264412,0.895933291058224,0.0912101728982651,0.0322476658847803
"30","http://linkedevents.org/ontology/atTime","2016-05-03",1133,1301,0.87086856264412,0.895933291058224,0.0912101728982651,0.0322476658847803
"31","http://linkedevents.org/ontology/atTime","2016-03-22",605,605,1,0.895933291058224,0.0912101728982651,0.0322476658847803
"32","http://linkedevents.org/ontology/atTime","2016-03-11",605,605,1,0.895933291058224,0.0912101728982651,0.0322476658847803
"33","http://linkedevents.org/ontology/atTime","2016-09-09",490,689,0.711175616835994,0.895933291058224,0.0912101728982651,0.0322476658847803
"34","http://linkedevents.org/ontology/atTime","2016-06-15",2014,2182,0.923006416131989,0.895933291058224,0.0912101728982651,0.0322476658847803
"35","http://linkedevents.org/ontology/hasCategory","2016-04-09",980,1301,0.753266717909301,0.78820412787681,0.0472717060847299,0.016713071965385
"36","http://linkedevents.org/ontology/hasCategory","2016-05-27",1446,1883,0.767923526287839,0.78820412787681,0.0472717060847299,0.016713071965385
"37","http://linkedevents.org/ontology/hasCategory","2016-03-22",508,605,0.839669421487603,0.78820412787681,0.0472717060847299,0.016713071965385
"38","http://linkedevents.org/ontology/hasCategory","2016-05-03",980,1301,0.753266717909301,0.78820412787681,0.0472717060847299,0.016713071965385
"39","http://linkedevents.org/ontology/hasCategory","2016-09-09",584,689,0.847605224963715,0.78820412787681,0.0472717060847299,0.016713071965385
"40","http://linkedevents.org/ontology/hasCategory","2016-03-11",508,605,0.839669421487603,0.78820412787681,0.0472717060847299,0.016713071965385
"41","http://linkedevents.org/ontology/hasCategory","2016-06-15",1698,2182,0.778185151237397,0.78820412787681,0.0472717060847299,0.016713071965385
"42","http://linkedevents.org/ontology/hasCategory","2016-05-13",1023,1409,0.726046841731725,0.78820412787681,0.0472717060847299,0.016713071965385
"43","http://linkedevents.org/ontology/inSpace","2016-03-22",605,605,1,1,0,0
"44","http://linkedevents.org/ontology/inSpace","2016-09-09",689,689,1,1,0,0
"45","http://linkedevents.org/ontology/inSpace","2016-04-09",1301,1301,1,1,0,0
"46","http://linkedevents.org/ontology/inSpace","2016-03-11",605,605,1,1,0,0
"47","http://linkedevents.org/ontology/inSpace","2016-06-15",2182,2182,1,1,0,0
"48","http://linkedevents.org/ontology/inSpace","2016-05-27",1883,1883,1,1,0,0
"49","http://linkedevents.org/ontology/inSpace","2016-05-13",1409,1409,1,1,0,0
"50","http://linkedevents.org/ontology/inSpace","2016-05-03",1301,1301,1,1,0,0
"51","http://linkedevents.org/ontology/involvedAgent","2016-03-11",7,605,0.0115702479338843,0.0367363681965725,0.0377699059728819,0.0133536783191015
"52","http://linkedevents.org/ontology/involvedAgent","2016-05-13",34,1409,0.0241305890702626,0.0367363681965725,0.0377699059728819,0.0133536783191015
"53","http://linkedevents.org/ontology/involvedAgent","2016-06-15",266,2182,0.121906507791017,0.0367363681965725,0.0377699059728819,0.0133536783191015
"54","http://linkedevents.org/ontology/involvedAgent","2016-05-27",39,1883,0.0207116303770579,0.0367363681965725,0.0377699059728819,0.0133536783191015
"55","http://linkedevents.org/ontology/involvedAgent","2016-05-03",28,1301,0.02152190622598,0.0367363681965725,0.0377699059728819,0.0133536783191015
"56","http://linkedevents.org/ontology/involvedAgent","2016-04-09",28,1301,0.02152190622598,0.0367363681965725,0.0377699059728819,0.0133536783191015
"57","http://linkedevents.org/ontology/involvedAgent","2016-09-09",42,689,0.0609579100145138,0.0367363681965725,0.0377699059728819,0.0133536783191015
