"","p","dep","number_of_distinct_entity","freq","normFreq","mean","sd","sem"
"1","http://3cixty.com/ontology#minDistanceNearestWeatherStation","2016-09-09",44968,44968,1,1,0,0
"2","http://3cixty.com/ontology#nearestWeatherStation","2016-09-09",44968,44968,1,1,0,0
"3","http://data.ign.fr/def/topo#importance","2016-09-09",44968,67,0.00148994840775663,0.00154949904663028,8.4217321143097e-05,5.95506388736491e-05
"4","http://data.ign.fr/def/topo#importance","2016-06-15",41018,66,0.00160904968550393,0.00154949904663028,8.4217321143097e-05,5.95506388736491e-05
"5","http://data.linkedevents.org/def/location#businessType","2016-03-11",20692,50276,2.42973129711966,2.61491789521549,0.165974270416249,0.0586807660569098
"6","http://data.linkedevents.org/def/location#businessType","2016-06-15",41018,118756,2.89521673411673,2.61491789521549,0.165974270416249,0.0586807660569098
"7","http://data.linkedevents.org/def/location#businessType","2016-04-09",27858,70495,2.53051188168569,2.61491789521549,0.165974270416249,0.0586807660569098
"8","http://data.linkedevents.org/def/location#businessType","2016-05-03",26066,66227,2.54074272999309,2.61491789521549,0.165974270416249,0.0586807660569098
"9","http://data.linkedevents.org/def/location#businessType","2016-09-09",44968,125410,2.78887208681729,2.61491789521549,0.165974270416249,0.0586807660569098
"10","http://data.linkedevents.org/def/location#businessType","2016-05-27",25828,68508,2.65247018739353,2.61491789521549,0.165974270416249,0.0586807660569098
"11","http://data.linkedevents.org/def/location#businessType","2016-03-22",20692,50276,2.42973129711966,2.61491789521549,0.165974270416249,0.0586807660569098
"12","http://data.linkedevents.org/def/location#businessType","2016-05-13",26827,71147,2.65206694747829,2.61491789521549,0.165974270416249,0.0586807660569098
"13","http://data.linkedevents.org/def/location#businessTypeTop","2016-04-09",27858,26473,0.95028358101802,0.988838444188253,0.0529874578242872,0.0187338953726948
"14","http://data.linkedevents.org/def/location#businessTypeTop","2016-03-11",20692,19393,0.937222114826986,0.988838444188253,0.0529874578242872,0.0187338953726948
"15","http://data.linkedevents.org/def/location#businessTypeTop","2016-09-09",44968,46575,1.03573652375022,0.988838444188253,0.0529874578242872,0.0187338953726948
"16","http://data.linkedevents.org/def/location#businessTypeTop","2016-03-22",20692,19393,0.937222114826986,0.988838444188253,0.0529874578242872,0.0187338953726948
"17","http://data.linkedevents.org/def/location#businessTypeTop","2016-05-13",26827,26831,1.00014910351512,0.988838444188253,0.0529874578242872,0.0187338953726948
"18","http://data.linkedevents.org/def/location#businessTypeTop","2016-06-15",41018,44591,1.08710809888342,0.988838444188253,0.0529874578242872,0.0187338953726948
"19","http://data.linkedevents.org/def/location#businessTypeTop","2016-05-03",26066,25080,0.962172945599632,0.988838444188253,0.0529874578242872,0.0187338953726948
"20","http://data.linkedevents.org/def/location#businessTypeTop","2016-05-27",25828,25849,1.00081307108564,0.988838444188253,0.0529874578242872,0.0187338953726948
"21","http://data.linkedevents.org/def/location#cell","2016-04-09",27858,27858,1,1,0,0
"22","http://data.linkedevents.org/def/location#cell","2016-03-11",20692,20692,1,1,0,0
